Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
35.0,4.6,Stormy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,15,20002.49755020721
25.0,4.6,Cloudy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.51880579843
37.0,4.8,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,21,20002.50511841159
35.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,52,20002.5058727413
24.0,4.9,Sunny,Low,0,Snack,motorcycle,1.0,No,Urban,11,20002.52024409862
37.0,4.9,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,28,20002.519700269142
28.0,4.9,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Urban,20,20002.513995149322
21.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.508012619965
22.0,4.8,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,17,20002.513571198553
24.0,4.8,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,39,20002.48825396502
25.0,4.8,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Urban,30,20002.49738915748
22.0,4.7,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,11,20002.51362001461
39.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,18,20002.49996143891
21.0,4.8,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,20002.50500485035
29.0,5.0,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,20002.490241167834
20.0,5.0,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,13,20002.488482764395
32.0,4.6,Fog,Medium,1,Meal,scooter,1.0,No,Urban,16,20002.515576659665
,,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,42,20002.490022863534
20.0,4.6,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520235868476
33.0,4.7,Sunny,Jam,1,Meal,scooter,0.0,No,Urban,19,20002.515750711897
39.0,5.0,Cloudy,Jam,0,Buffet,motorcycle,2.0,Yes,Urban,51,20002.511351286063
35.0,4.7,Sunny,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.508942472512
29.0,5.0,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,19,20002.51968875991
27.0,4.8,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.510921865294
30.0,5.0,Cloudy,Jam,1,Meal,scooter,2.0,No,Metropolitian,39,20002.51144040631
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,29,20002.517378920573
33.0,5.0,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,42,20002.486321510754
35.0,3.8,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,40,20002.50511165225
20.0,4.4,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,42,20002.505551354818
21.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,25,20002.50928700954
20.0,4.9,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,25,20002.489315262665
29.0,4.2,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,32,20002.516074164345
37.0,4.5,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.508910276043
23.0,4.8,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.504715476327
29.0,4.9,Sunny,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,17,20002.51966731031
23.0,4.9,Stormy,Medium,2,Snack,motorcycle,1.0,No,Urban,15,20002.49868874377
29.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.511670982964
39.0,5.0,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,21,20002.513819144817
36.0,4.8,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,20002.52024180906
37.0,4.7,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.497314585966
33.0,4.7,Fog,High,1,Drinks,scooter,1.0,No,Metropolitian,26,20002.517401030065
39.0,4.7,Stormy,High,1,Buffet,scooter,1.0,No,Metropolitian,27,20002.520231456303
28.0,3.8,Sunny,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,46,20002.513818262058
27.0,4.8,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.50574438047
31.0,4.8,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.518724029094
36.0,4.6,Fog,Medium,0,Snack,motorcycle,3.0,No,Metropolitian,47,20002.498320941082
37.0,4.8,Sunny,Jam,2,Buffet,scooter,1.0,No,Urban,18,20002.498495899927
21.0,5.0,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,18,20002.50882407639
31.0,4.4,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,40,20002.513757478955
36.0,4.2,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,35,20002.515699462463
39.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.51881740437
24.0,4.6,Sunny,Jam,2,Drinks,motorcycle,0.0,No,,11,20002.511096010032
33.0,3.9,Stormy,Medium,2,Buffet,scooter,1.0,No,Urban,34,20002.49935958562
30.0,3.7,Fog,Low,1,Drinks,scooter,0.0,No,Urban,35,20002.508012619965
34.0,4.8,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.50500392644
35.0,4.6,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,26,20002.511897228906
38.0,4.7,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,16,20002.520251332742
39.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,24,20002.515698682007
32.0,4.1,Cloudy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,45,20002.497558892952
30.0,4.3,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,44,20002.50632736721
39.0,4.4,Cloudy,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,31,20002.51732220814
32.0,4.7,Stormy,High,1,Snack,motorcycle,1.0,No,Urban,27,20002.51756402865
36.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.5196889119
30.0,4.8,Sandstorms,Medium,2,Meal,scooter,0.0,No,Metropolitian,33,20002.513443211963
29.0,5.0,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,20002.515665717667
22.0,4.8,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,24,20002.514158871112
36.0,4.4,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,51,20002.505851816117
29.0,4.8,Sandstorms,Medium,0,Meal,motorcycle,0.0,No,Urban,15,20002.515576659665
26.0,3.9,Sunny,Jam,0,Buffet,motorcycle,2.0,No,Urban,40,20002.515836000974
34.0,4.9,Cloudy,Medium,1,Drinks,motorcycle,1.0,Yes,Metropolitian,44,20002.49738959167
,,Fog,Medium,0,Meal,motorcycle,1.0,No,Urban,36,20002.511351104604
24.0,4.8,Stormy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,12,20002.51390030213
22.0,4.7,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,34,20002.51970026517
36.0,4.7,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,28,20002.519667345558
27.0,4.5,Fog,Jam,1,Meal,scooter,0.0,No,Urban,26,20002.515894026623
26.0,4.8,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,29,20002.510921865294
30.0,5.0,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,16,20002.517566529797
25.0,4.7,Windy,Low,2,Snack,scooter,1.0,,Urban,12,20002.508239967083
36.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Semi-Urban,53,20002.48632440391
24.0,4.5,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.489133782867
29.0,4.6,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.518858861844
29.0,5.0,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,32,20002.490211660162
39.0,4.0,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,34,20002.515893703174
34.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.515794830193
28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.5113497932
35.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,52,20002.5055143021
33.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.51106715557
22.0,4.4,Windy,Low,0,Snack,motorcycle,,No,Metropolitian,25,20002.520250729507
34.0,5.0,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.518858861844
24.0,4.8,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,11,20002.49756360721
25.0,4.5,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,16,20002.511897078177
34.0,4.4,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,43,20002.50551169975
28.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.518719801938
29.0,4.9,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,10,20002.513622395054
37.0,5.0,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.514162083302
20.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.518679857174
38.0,5.0,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,23,20002.515665680072
22.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,20002.519669456215
28.0,4.1,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.49936657425
35.0,4.2,Cloudy,High,2,Meal,scooter,1.0,No,Urban,35,20002.520245959106
28.0,4.5,Windy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.51579461594
31.0,4.8,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,21,20002.48913037868
30.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.505004931292
24.0,4.8,Stormy,High,1,Meal,motorcycle,0.0,No,Urban,14,20002.51970755806
30.0,4.6,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,35,20002.49738959167
24.0,4.5,Cloudy,Low,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520236410834
29.0,4.8,Fog,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,20002.517567662926
25.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.52023500049
24.0,4.7,Cloudy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,20002.520251332953
24.0,4.8,Sunny,Low,1,Meal,scooter,0.0,No,Urban,16,20002.519663808704
37.0,4.6,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,20002.498812721013
21.0,4.7,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,16,20002.520231456303
27.0,4.6,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.505076028658
31.0,4.7,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,29,20002.517640303984
27.0,4.7,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,20,20002.488399174257
25.0,4.7,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,16,20002.513800821016
33.0,4.7,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,24,20002.517379067493
31.0,4.9,Sandstorms,Medium,1,Snack,scooter,0.0,No,Metropolitian,22,20002.497553988705
36.0,4.0,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,34,20002.515665352097
24.0,4.4,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,20002.519663759347
23.0,4.8,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,29,20002.504715476327
31.0,4.2,Windy,High,0,Buffet,motorcycle,2.0,No,Urban,41,20002.51732220814
20.0,4.0,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,33,20002.50931304905
21.0,4.7,Windy,Medium,2,Drinks,electric_scooter,1.0,No,Urban,19,20002.497553732763
22.0,4.9,Windy,Jam,2,Meal,motorcycle,1.0,No,Urban,28,20002.511066161525
32.0,4.9,Fog,Low,0,Meal,motorcycle,0.0,No,Urban,29,20002.519663818384
21.0,4.9,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34,20002.504715476327
31.0,4.8,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,52,20002.48955485867
33.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,,24,20002.52024412475
34.0,3.5,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,31,20002.50500506592
37.0,4.9,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,31,20002.517392944173
26.0,4.1,Cloudy,Medium,2,Snack,scooter,0.0,No,Metropolitian,31,20002.49738920937
25.0,4.8,Sandstorms,Jam,2,Meal,scooter,1.0,No,Urban,15,20002.50882618631
34.0,4.6,Stormy,Jam,1,Meal,scooter,,No,Metropolitian,28,20002.511473032366
20.0,4.0,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,20002.51970556749
26.0,3.9,Sunny,High,0,Buffet,motorcycle,1.0,Yes,Urban,49,20002.52024180906
34.0,4.0,Stormy,Medium,1,Meal,scooter,1.0,No,Urban,32,20002.518711729386
27.0,4.6,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,12,20002.52024412837
30.0,4.9,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.518724303107
39.0,3.9,Fog,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,36,20002.50006075735
31.0,4.0,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.48848229666
21.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,11,20002.513898921814
22.0,4.6,Fog,Medium,1,Drinks,scooter,0.0,No,Metropolitian,12,20002.515892982516
28.0,4.8,Fog,Jam,1,Drinks,scooter,2.0,Yes,Metropolitian,39,20002.509603043778
20.0,4.9,Cloudy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,10,20002.5187195895
24.0,4.8,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.52024180906
25.0,4.7,Sandstorms,High,2,Meal,electric_scooter,0.0,No,Urban,10,20002.51732220814
36.0,4.8,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,43,20002.511162921757
23.0,4.7,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,47,20002.49002308042
34.0,4.9,Sunny,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.517461430074
21.0,4.9,Windy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,10,20002.511542579512
20.0,4.6,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,20002.518858822223
22.0,4.7,Cloudy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,29,20002.498223627346
23.0,4.6,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,39,20002.508668301314
29.0,5.0,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Urban,22,20002.51752493338
27.0,4.9,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.51134894256
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,20002.513947664876
22.0,4.9,Stormy,Jam,1,Meal,scooter,1.0,No,Urban,16,20002.505423819646
22.0,4.5,Cloudy,Low,2,Meal,scooter,0.0,No,Urban,12,20002.51396565473
32.0,5.0,Windy,Medium,0,Buffet,motorcycle,1.0,Yes,Metropolitian,49,20002.505074490593
31.0,4.9,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,20002.515687546318
26.0,4.8,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,20,20002.496957495794
,,,,3,Snack,scooter,1.0,No,Metropolitian,21,3770.626084601953
,,,,3,Buffet,scooter,1.0,No,Metropolitian,33,20002.517401914287
24.0,4.5,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,18,20002.510921865294
21.0,4.8,Windy,Medium,0,Drinks,motorcycle,1.0,No,Urban,29,20002.497554550075
31.0,4.1,Fog,Jam,2,Meal,scooter,1.0,No,Urban,39,20002.508681175575
37.0,4.7,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,22,20002.519661342318
26.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,25,20002.510921865294
38.0,4.8,Sunny,High,2,Meal,electric_scooter,0.0,No,Urban,18,20002.517640303984
31.0,5.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.50596058958
28.0,4.6,Windy,Low,2,Meal,scooter,0.0,No,Urban,17,20002.490689775765
31.0,5.0,Stormy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,22,20002.51970014872
36.0,4.8,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,34,20002.518772540257
26.0,4.8,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.505954424352
39.0,4.7,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,19,20002.515954742452
32.0,4.6,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,28,20002.517731948847
28.0,5.0,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,37,20002.50864462467
30.0,4.4,Cloudy,Jam,2,Buffet,motorcycle,2.0,No,Metropolitian,41,20002.488399965896
39.0,4.8,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,41,20002.49865607797
22.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,28,20002.51970026517
29.0,4.5,Windy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,20,20002.487444382554
23.0,4.8,Stormy,Jam,2,Meal,scooter,0.0,No,Urban,21,20002.513899246234
22.0,4.7,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,24,20002.52024575722
21.0,4.6,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,43,20002.49865782246
30.0,4.7,Sunny,Medium,2,Buffet,scooter,1.0,No,Urban,24,20002.48847779029
36.0,4.5,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Urban,21,20002.489126126053
,,,,3,Meal,motorcycle,1.0,No,Metropolitian,10,20002.52023640415
37.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Urban,38,20002.496957495794
25.0,4.6,Sandstorms,Jam,2,Snack,scooter,1.0,No,Urban,23,20002.49801802673
27.0,4.8,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,18,20002.520236351782
24.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Urban,18,20002.519700310542
25.0,4.8,Fog,Low,2,Snack,scooter,0.0,No,Metropolitian,15,20002.520234395342
22.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.51582225711
,,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,27,20002.505894907827
24.0,4.7,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,24,20002.508642124503
24.0,4.9,Stormy,Low,2,Snack,scooter,1.0,No,Urban,10,20002.51619690477
20.0,4.9,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,21,20002.515939818353
29.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.513797694577
35.0,3.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,32,20002.498492630664
33.0,4.6,Cloudy,Jam,2,Drinks,motorcycle,2.0,No,Metropolitian,42,20002.497496748547
34.0,4.6,Windy,High,1,Meal,scooter,0.0,No,Metropolitian,29,20002.520234991258
26.0,4.2,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Urban,38,20002.511161251852
39.0,4.7,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,28,20002.520236317847
34.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,20002.516216779804
35.0,4.8,Fog,Medium,1,Drinks,scooter,0.0,No,Urban,17,20002.51381781723
26.0,4.4,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.517489955728
32.0,4.6,Cloudy,Jam,1,Drinks,scooter,2.0,No,Metropolitian,40,20002.505852749044
20.0,5.0,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.516216706692
21.0,4.9,Fog,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,31,20002.508571935687
37.0,4.5,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.518816200813
26.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,16,20002.499297556587
24.0,5.0,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,20002.509287590674
20.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.515701329783
34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,20002.517400197976
35.0,4.7,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,43,20002.48847779029
36.0,4.7,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,19,20002.520236346594
31.0,4.7,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,16,20002.497495642194
32.0,4.3,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,39,20002.508327589785
38.0,4.2,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,45,20002.498321016028
31.0,4.4,Windy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,41,20002.50542606351
27.0,4.6,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20,20002.48764792747
34.0,4.5,Sunny,Medium,1,Meal,motorcycle,1.0,No,Urban,16,20002.498216499254
36.0,4.9,Windy,Medium,2,Meal,scooter,1.0,No,Metropolitian,26,20002.49101832739
25.0,5.0,Sunny,High,1,Drinks,motorcycle,1.0,No,Urban,13,20002.5175247571
35.0,4.7,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,25,20002.498810393085
,,Fog,Low,1,Snack,motorcycle,0.0,No,Urban,16,20002.51966725132
31.0,4.8,Stormy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,36,20002.489125912685
31.0,4.9,Windy,High,1,Buffet,motorcycle,1.0,No,Urban,28,20002.51746186211
31.0,4.7,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,27,20002.513965593716
33.0,4.6,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,30,20002.52024594304
37.0,4.7,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.515893657208
36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.51116116559
24.0,5.0,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,22,20002.513619928686
27.0,4.6,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,27,20002.511138190446
22.0,5.0,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.488247469922
32.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,26,20002.51361892035
35.0,4.3,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,38,20002.511662255085
36.0,4.7,Sunny,Low,2,Drinks,motorcycle,0.0,No,Urban,18,20002.50528397331
20.0,4.6,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,37,20002.48764792747
33.0,3.8,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,33,20002.511403032015
27.0,4.8,Sunny,Medium,1,Drinks,scooter,0.0,No,Metropolitian,10,20002.51764031737
31.0,4.8,Sandstorms,High,0,Meal,motorcycle,0.0,No,Metropolitian,41,20002.51970016327
33.0,4.9,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,40,20002.510921865294
33.0,4.9,Fog,Jam,2,Drinks,electric_scooter,1.0,No,Urban,25,20002.518758282113
27.0,4.9,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Urban,12,20002.518758556038
36.0,4.7,Sunny,Low,1,Meal,motorcycle,1.0,No,Metropolitian,23,20002.511139897364
26.0,4.8,Fog,High,2,Meal,motorcycle,0.0,No,Metropolitian,23,20002.51968875991
24.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,22,20002.51764050189
36.0,5.0,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,29,20002.51966942688
25.0,4.7,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,12,20002.51361892035
31.0,4.9,Cloudy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,16,20002.520235849996
38.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.518841198824
26.0,4.1,Fog,High,2,Drinks,scooter,1.0,No,Metropolitian,31,20002.519663759096
28.0,4.2,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,25,20002.519688893542
33.0,4.9,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,44,20002.511608698573
,,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.50632960314
25.0,4.5,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,34,20002.505955882003
22.0,4.9,Windy,Jam,2,Buffet,motorcycle,0.0,No,Urban,27,20002.497390646018
30.0,4.2,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.518793711908
,,Fog,Jam,2,Buffet,scooter,,No,Urban,35,20002.518723983158
24.0,4.9,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,18,20002.509162714483
35.0,4.8,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,20002.515576659665
21.0,4.6,Fog,Low,0,Snack,motorcycle,0.0,No,Urban,20,20002.498494107196
37.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.51872392347
29.0,4.9,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,12,20002.519691145728
28.0,4.4,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,46,20002.515940078418
35.0,5.0,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.515893940883
22.0,5.0,Windy,Medium,1,Buffet,motorcycle,0.0,No,Urban,22,20002.517401756664
25.0,4.9,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Urban,20,20002.511350266665
26.0,4.5,Stormy,Jam,2,Drinks,scooter,1.0,No,Urban,15,20002.50556946431
32.0,4.6,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.486321510754
22.0,4.3,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.5202358757
20.0,3.7,Sunny,High,0,Buffet,motorcycle,3.0,No,Metropolitian,46,20002.51971063774
34.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,50,20002.488401450675
